Bw,osr,nlev,Hinf,Cint,gm,Ro,Co,SNR
94443043.0652891,64,2,1.5,7.04133766207914e-13,0.0007911030657010858,549189.686623484,4.298544766488567e-14,73.2297688863318
70719539.445505,32,2,1.5,7.65079118769956e-13,0.0005869113373332569,193350.47231921006,2.4030800383823262e-14,58.77660646304068
694669072.1516334,128,5,1.5,4.525833694332781e-13,0.0002406769821552054,985902.1015274981,4.166002485308152e-14,83.9309644472836
940436038.441595,64,4,1.5,6.336333905831523e-13,0.0005232411084790835,262935.5592062805,5.91367595687315e-14,73.87683783288735
907466084.2995268,32,3,1.5,9.576301541294257e-13,0.0006948321853614992,423784.33972335915,1.5871898280327704e-14,53.40045735114566
436343742.31748885,64,4,1.5,8.992687639077932e-13,0.0003275574753698132,719394.0405838658,4.06309009245146e-14,73.00067695942751
625786832.3938472,32,5,1.5,9.22583648315949e-13,0.0009027462000557075,577093.9387398248,2.326947887836443e-14,53.512099673767686
119440905.34705923,256,2,1.5,5.400081704159348e-13,0.0009388609971708398,410292.5763116359,2.1913441915168697e-14,81.3197004572878
763404030.6265216,64,3,1.5,9.521082472483155e-13,0.0006789832989862074,813132.7247755443,5.6747602880838225e-14,71.79068324515528
905232703.353093,64,3,1.5,9.382517048099987e-13,0.0007659553404764154,706901.7207572707,6.898331590087386e-14,71.20018997812521
188773837.89401138,32,4,1.5,8.505231462448259e-13,0.000904648374868548,430561.3726613907,6.660599958733384e-14,53.5981198918759
282003158.79489493,256,5,1.5,9.381342533058948e-13,0.0008529608721957991,932507.1818961172,3.731444454135135e-14,81.28555279045563
237114514.8776197,256,2,1.5,8.348917252483998e-13,0.0007082026132258498,147013.34814607335,6.521905050969239e-14,81.53948587501377
554542218.5865775,32,4,1.5,8.784476188958703e-13,0.00014084307388800992,948150.981861182,2.1801283298998524e-14,53.111328628157324
787389581.6554744,32,4,1.5,6.628854732018581e-13,0.0008687178991413413,760740.381140937,6.388646323265533e-14,53.74068814765447
862250561.6777549,256,3,1.5,6.275430455985567e-13,0.0005717008279181146,513812.4904061693,2.3242048327314414e-14,81.93761277929568
193160663.18571198,64,4,1.5,7.251652334572487e-13,0.0009384269358447422,711881.67708608,5.0668058448969206e-14,69.44095068549784
277463825.00867355,256,5,1.5,6.833437373269939e-13,0.0003504731210383448,322123.41681101924,5.925840664148604e-14,82.51338388748735
82337652.802688,128,3,1.5,9.078881715652137e-13,0.0008878362108300754,540327.9030513472,8.292668772480201e-14,82.98261626806985
571542486.1689932,32,3,1.5,6.591196409327692e-13,0.0009122887617508667,235887.88444210534,1.8564145808181627e-14,54.76603766178803
691650451.2605379,256,5,1.5,6.036444782014045e-13,0.0005437694798525073,488705.07351686805,3.598598023933533e-14,82.26589340431958
248834827.38492778,256,4,1.5,7.723552201888105e-13,0.00033624712037796494,808279.5849973001,1.462813103615978e-14,81.33079834299676
522801040.5565831,32,4,1.5,9.55401857350422e-13,0.00025033395859419284,526590.0653137867,3.640230567876368e-14,53.68955101938096
678316014.3853761,64,4,1.5,9.030752748168973e-13,0.0004038933337151815,743563.770353935,2.056374017039485e-14,70.67718202091824
877438810.8417422,256,4,1.5,9.44409684741045e-13,0.0009714401063210275,934711.7720586663,1.6980635741773624e-14,81.39434572198618
929107215.3851128,32,2,1.5,7.226559337891646e-13,0.0007880635799625649,315754.7182979045,6.021637786673444e-14,56.940807494435475
674010186.7136564,256,3,1.5,7.148461643085158e-13,0.0009636958984303635,975742.8418324734,1.530791692490778e-14,81.38816045756647
558265418.7627753,32,4,1.5,9.730039592543933e-13,0.0005622492222395086,477497.666644366,7.226209141237554e-14,55.47631150487739
73216556.17587478,128,3,1.5,5.72656381583131e-13,0.000280098647730685,423909.5599414276,4.4490310193813497e-14,82.92442396532913
391303153.24890244,128,5,1.5,4.51708220062252e-13,0.0009617179441910388,216877.93022313676,2.5535082812525236e-14,83.6940951868487
812368703.07411,256,5,1.5,6.941940791515581e-13,0.0009793942545571345,969501.1193754736,3.8597193472414914e-14,81.77993592084589
700623938.2355847,32,5,1.5,6.415377768748404e-13,0.000953093121370546,610657.0554747848,1.0344422970785064e-14,56.7898066224391
530210374.2480562,256,2,1.5,9.59818372521805e-13,0.00047704779287087705,617653.6619313906,1.1713951942435024e-14,81.3451643959136
533664603.9240277,32,2,1.5,8.859645789281537e-13,0.0006923815113080985,735654.3603044101,5.0884530194583635e-14,52.91926634810996
909417722.0172688,32,3,1.5,6.13401276401162e-13,0.0009819034331459203,758274.3781480872,2.6968164812182694e-14,52.56474277832982
971670484.2653173,128,3,1.5,7.604927181171268e-13,0.0004904233818273258,630169.5650331464,3.91090407846825e-14,84.34489824797636
906614472.9862365,64,3,1.5,9.027488463362827e-13,0.0006474440781004369,833193.1712555854,8.480663131612709e-14,74.43302903039654
834429315.4631382,128,4,1.5,8.700669468796452e-13,0.0005617467621224478,984023.7179944774,3.951853610012408e-14,84.26927345012794
318341893.4297213,256,2,1.5,7.664131392589854e-13,0.00018343594235961563,822315.7066172982,7.643659375010941e-14,87.1160343718568
607423061.0296466,32,2,1.5,8.337200345221886e-13,0.0008010870167319649,299553.254979147,4.1035594405353335e-14,54.21332759886718
968609038.1073254,32,4,1.5,9.205253281735073e-13,0.000436793671700456,696114.380770167,4.22993874331595e-14,54.45054233534826
65216395.37362998,32,5,1.5,2.957079277433457e-13,0.0004147127012123699,561500.2918517856,1.9599696561046463e-14,60.69209834378341
332640456.1936612,256,2,1.5,3.954255970787821e-13,0.00038104140933459133,623703.4796000456,2.1665088501169825e-14,81.44640766426521
744548155.8249038,64,2,1.5,9.672523019720413e-13,0.0008607576754647584,980798.1251542469,2.9773764414188465e-14,71.19748349913708
408179986.4638302,32,3,1.5,6.05628690041057e-13,0.000842839280911006,616126.5104250072,2.659780574267494e-14,53.68440255244195
934599708.3926839,128,4,1.5,6.348248601658811e-13,0.0005025563102940613,376400.87889902724,5.0434370718966695e-14,84.75886373984716
632172042.1952966,128,5,1.5,7.616273384330765e-13,0.0005426593623739845,336020.3405467241,1.2238571836122479e-14,82.83141369660832
659528984.2865313,32,2,1.5,9.885958968064573e-13,0.0007630690297661141,907404.954177934,9.497768696930866e-14,54.950254303325146
890668253.439431,128,5,1.5,7.225492607370422e-13,0.0008749891692660752,173331.85073436264,3.867393835771928e-14,84.9814762035843
735034340.9206822,32,5,1.5,5.975455236607977e-13,0.0005386100780160523,265373.96221510443,3.041961691155417e-14,54.19623454741506
182728738.5201919,128,4,1.5,9.907374203342189e-13,0.0002589882280312105,776369.1793157692,5.072111892018627e-14,84.32770563074664
562425987.431056,256,4,1.5,9.327275088555706e-13,0.0004380232301585925,266346.5350928754,9.305491345048089e-14,86.83175376350255
436834890.53364176,32,3,1.5,2.522032777826361e-13,0.0008930706322439515,139195.39758237495,1.2034910141502444e-14,58.86612371653015
545567929.1073164,64,3,1.5,6.450742553694096e-13,0.00013464185843676052,991232.820072499,3.353446452544921e-14,69.82842569568699
123433746.92381471,128,4,1.5,6.906655201805048e-13,0.00036072341772681285,678100.2306692542,2.9710002581031436e-14,83.83492797558822
492930723.44736534,64,5,1.5,9.203215853807747e-13,0.00043691710307489453,297041.52972957393,4.567925789185846e-14,71.01278179396584
239670676.081846,32,5,1.5,6.008448655348863e-13,0.0004113179942695427,272778.55011336104,2.3239756512372558e-14,55.0475088849004
468415941.9115278,64,4,1.5,5.256591108016669e-13,0.000270014038214804,780208.8418228453,3.6107150028664415e-14,73.24659400115354
777196701.6970369,256,3,1.5,8.175950273049996e-13,0.0003295995417053048,879664.4837657711,4.588010777323268e-14,86.06374878236915
525287644.7357072,256,3,1.5,8.578841092272064e-13,0.0008191995872662821,663634.1812987291,4.229540616677573e-14,81.62265574102483
748894434.3635443,128,2,1.5,8.842993279403415e-13,0.0006070034329301978,384180.32257320563,6.998082324464872e-14,83.83407407955964
143719362.00804752,256,2,1.5,8.702025309780175e-13,0.0007285692031689085,462555.5123206992,7.201019487377102e-14,81.3344570410692
799419328.3063954,256,3,1.5,9.30830878557261e-13,0.0008564534549324409,787783.7136502885,6.860806583317979e-14,83.5560287825283
268002164.77248156,32,5,1.5,6.211052982328095e-13,0.000846635209174841,427020.59851492697,5.878337016168984e-14,53.650065649662935
441095908.99793106,256,3,1.5,5.245693155560393e-13,0.0007875329047440265,986869.9585475067,3.639680936207556e-14,81.49482012608178
563517930.8796563,128,2,1.5,9.59439210339215e-13,0.000698994787746817,353816.24331985554,8.142520576570218e-14,85.13403183479433
599731320.0449843,64,5,1.5,6.017653543828762e-13,0.0004520098423001517,699754.2765719936,1.7047188440211625e-14,71.03144852839887
264723548.08263806,64,2,1.5,6.965198928049997e-13,0.0005349076321169481,938332.0610051709,1.3958716595810848e-14,70.60217130512743
736446817.3431629,256,3,1.5,9.237031345321228e-13,0.0006498264843089631,225268.06848709736,1.518683819786227e-14,81.49200152936078
415545781.11418873,64,2,1.5,8.32252394736798e-13,0.0003856270382144918,745523.3192187074,2.7186701874790567e-14,73.29746377626375
347960265.8595528,256,3,1.5,4.128719953739504e-13,0.000793317463828462,194002.06325088855,2.981345235186052e-14,81.30008008792144
214783915.8417725,256,4,1.5,8.126656543712806e-13,0.0006373660382986699,272954.62399633037,7.705689173609031e-14,81.60809665531869
507285875.0771335,256,5,1.5,8.839282794694169e-13,0.0006477404766573637,995057.1459936826,1.2818213117426017e-14,81.30641241390272
905181170.0396861,256,3,1.5,9.845616016912886e-13,0.0006664557238904946,662592.6664928526,6.550709388798694e-14,85.00372643970917
514888930.03650886,256,3,1.5,9.518096741453336e-13,0.0006643749308907667,696576.8689394167,8.536890205352194e-14,83.52857080255255
316478356.4541037,32,4,1.5,8.447811816924118e-13,0.00022996855538724375,949232.2559410806,5.356278858747516e-14,55.07366343868394
868212158.0674717,64,4,1.5,8.147577037568594e-13,0.0005560906437167733,847554.5455652355,4.554830671064143e-14,73.68054135151156
483651392.08333415,32,3,1.5,8.657584097511051e-13,0.0007239463208192459,810550.7340702683,1.031367611992145e-14,57.17001807399453
12639554.1660007,64,5,1.5,9.63612683513171e-13,0.0004728266220268608,272969.1469530147,3.961339180246505e-14,78.36909725554682
254512697.79035637,64,2,1.5,5.722190622843038e-13,0.0009567412728917796,161443.38064439784,4.202231223151771e-14,68.89535053031557
129105998.6412626,64,3,1.5,6.48308839008383e-13,0.0009718296077199796,804381.367724078,4.7846101698663175e-14,72.09337177947589
822053968.3771061,64,2,1.5,8.076603711988751e-13,0.0006776062643139684,167421.36135131336,5.746608716252443e-14,71.46406607496485
723943150.3125672,128,5,1.5,9.46529025437892e-13,0.00045550803261208597,762261.9431901694,7.797315246144162e-14,83.94377097454026
545182509.2614374,64,3,1.5,6.908795306304913e-13,0.0009724290363184109,696466.0934852407,3.8933521754264724e-14,69.81273117976342
319702958.9324195,128,2,1.5,5.747139631842836e-13,0.0008964108595074304,194783.3527366241,4.6034373957686506e-14,84.81537296338873
178513647.641955,128,2,1.5,8.762666054156933e-13,0.0007490250665164468,542123.7346620347,3.619546221879731e-14,83.68148305944078
917451480.669289,32,2,1.5,9.276633932665384e-13,0.00035047446464812974,709687.9029939162,7.453073200584772e-14,51.89966815393686
44558054.5733389,64,2,1.5,8.540037663322523e-13,0.0007238651943259984,279424.1299373688,7.317566974421067e-14,72.56013575462943
616599535.3984206,256,4,1.5,4.2315514077740193e-13,0.0007283440006549281,598986.6884177827,2.5897528153188425e-14,81.44643797790023
429558606.81767285,128,5,1.5,6.857247902708149e-13,0.0009880025269866873,136385.67202016787,6.367324073232791e-14,84.61667984980483
842466502.7036772,64,4,1.5,4.788675602644876e-13,0.000583319254109155,873268.3097275548,1.4052427992985543e-14,69.4290179990308
33433093.33754499,64,4,1.5,9.074194083696221e-13,0.0009198508522988302,137160.81875993434,7.558349877746746e-14,75.06479424061266
612753818.3437573,32,2,1.5,5.00492321886969e-13,0.0008580965535803769,477831.28936712677,3.461817196877314e-14,52.460708359993674
140361112.8157454,64,3,1.5,9.019372719802086e-13,0.0004899088280506037,807019.6375615216,5.4892876100075866e-14,69.98591819999886
385689473.6188187,32,2,1.5,3.605577290718997e-13,0.00019029236615370306,919022.5336658478,1.8679576267130987e-14,53.04039668371922
950769436.7421095,128,3,1.5,8.580824967472313e-13,0.0007154070888307581,482295.7758491167,7.515240400461824e-14,84.41731135007566
385257088.37096596,128,3,1.5,7.18282859775894e-13,0.0005586119596707851,314180.71328077343,6.922261758129542e-14,84.86126653830625
578424084.2046424,32,3,1.5,9.458384210159997e-13,0.0008721445594119397,759315.110940132,4.960155554669789e-14,53.66903059233277
785085526.8405585,64,2,1.5,6.555388508515086e-13,0.00041177293011693153,893898.6234892766,6.485383336214033e-14,70.58630725000661
769871519.146351,32,5,1.5,4.660318656706713e-13,0.0005257318430712233,650212.7867730951,2.2096205742203456e-14,53.229576295086495
165077733.1480532,128,5,1.5,9.252831680143712e-13,0.0005072687719539778,585737.9964693384,7.39402372919348e-14,84.67581857151842
371382654.5763569,256,4,1.5,9.89219020993325e-13,0.0005521829270051035,631958.363424363,1.316254289553123e-14,81.31988571927471
742012493.3083255,32,4,1.5,9.144269598623729e-13,0.0009924565543547887,538792.6453717137,1.8844972409901747e-14,53.427914589715975
850313511.4853235,128,5,1.5,9.390331644084667e-13,0.0008230166112647953,749279.5403841166,1.995695678659872e-14,82.72066654689584
931034400.0541158,256,5,1.5,9.863076233083855e-13,0.00038578952819713505,541195.4878643579,8.993839206563083e-14,86.64954103611505
701144969.5419343,32,5,1.5,7.021252342604086e-13,0.0006474419891254113,215307.67151982913,2.4687294539394184e-14,53.228913359623824
82288255.86278667,256,4,1.5,9.526379901650817e-13,0.0006080549889252659,679127.2469578029,5.132095077660054e-14,81.2643007438868
350980405.95840526,64,2,1.5,9.613220705120978e-13,0.00047937472726360765,576230.6762736614,2.504581951019379e-14,71.10726036143787
450962992.2390786,64,2,1.5,8.926077841770522e-13,0.0003386541416182929,379537.441841469,8.123059830390584e-14,71.81045682283687
385380314.91572696,128,5,1.5,9.761078256604645e-13,0.0006869780406013355,216935.42429738186,9.66849176393877e-14,85.12838790403919
357624076.2541058,64,2,1.5,7.067708888780012e-13,0.00034186946656869076,994766.651144843,4.668536064797304e-14,71.03968617894387
848300258.7460057,256,3,1.5,8.199897223764483e-13,0.0008997724904796725,452266.48552913667,5.866369840700908e-14,82.80060942737182
447493592.4807762,256,4,1.5,3.0325261747539424e-13,0.0003650067452769956,531856.5193736259,1.8080470279052547e-14,81.46493391632862
875194408.8489127,128,5,1.5,5.549227632135105e-13,0.0008949388441411129,509700.6494982329,2.9761155522933235e-14,83.89726364302534
902541940.7471435,128,4,1.5,4.2447846504903884e-13,0.00036093215375804396,379116.7038989144,3.5756344363183274e-14,84.46816382723965
545619159.4646232,32,4,1.5,9.643730214851539e-13,0.0008213939145209926,343601.0538211303,7.03097308371514e-14,52.94411848031335
697242657.2342994,256,2,1.5,9.742564239300022e-13,0.00035444941421471034,392158.41907327855,4.86411563952789e-14,85.35350903042941
367954991.4374397,256,4,1.5,9.244617161478702e-13,0.0003734008563904259,901951.4717870156,3.209327647863272e-14,81.7466194846716
236962583.78140694,32,2,1.5,8.907085136665881e-13,0.000770322666917774,994794.1769071211,7.960868454468783e-14,54.0003409727896
274444582.4232115,256,3,1.5,7.028766040856171e-13,0.00035131154536576366,732113.1123026706,6.217047428400601e-14,82.47982562407333
555737621.240522,256,5,1.5,9.792554836929346e-13,0.0006684623001682226,757354.9639708855,5.554041632111218e-14,82.37132948691391
606112542.7964158,128,4,1.5,9.42679960440808e-13,0.00021688649445153013,666251.9655775825,7.586870224245697e-14,82.35098503669158
480062880.0496687,64,5,1.5,9.332460342369926e-13,0.0005841150165488195,291280.5719139803,4.492255788780237e-14,70.59272271835164
504886668.32239467,32,5,1.5,2.400492614559397e-13,0.0009234844055630219,895771.2272711145,1.65726299573893e-14,56.224790057527805
652846323.875872,256,2,1.5,8.636287178398885e-13,0.0008439439463158977,297078.01976821164,1.6195054961599668e-14,81.23603834492133
227366538.27651155,256,5,1.5,9.919085811197402e-13,0.0003444441697932936,821464.4324248761,2.385678049566668e-14,81.41906711043646
857056454.1127241,256,5,1.5,9.212872257099579e-13,0.0004752621135772639,729964.819277397,8.225600004713577e-14,87.4295035761264
595088942.0622221,256,4,1.5,8.394182357809857e-13,0.0009664874837997028,832278.9509086094,3.134378725417363e-14,81.38043432382804
886661100.2083058,128,5,1.5,6.600047486008377e-13,0.0006704134090355708,482719.26829852414,3.88833805724685e-14,84.90807297458382
339201336.36300075,32,2,1.5,9.916197963133385e-13,0.00035769105181677894,445613.9854449477,5.077600835954964e-14,54.96074502538353
154833921.37405288,256,2,1.5,5.892539317202436e-13,0.0007510890487117454,617008.8792177369,3.216810611425377e-14,81.3573801616059
959344039.598432,128,4,1.5,9.936972552203988e-13,0.0009647605935687894,485558.68808886537,6.190091187743714e-14,84.80948025741868
38901835.026907,64,3,1.5,4.158673156542626e-13,0.0009310105045623778,184347.38160603304,2.5801223277615957e-14,75.79045712966106
819058704.4956048,256,3,1.5,4.3309243366772763e-13,0.0009430462660637075,148979.20409173018,2.4467908627039514e-14,81.57718054500812
84471043.96408007,64,2,1.5,5.927769450979758e-13,0.0005222581191527929,324161.907629467,3.836078100334602e-14,71.77965960540476
682355581.2459433,64,3,1.5,1.6231019536046103e-13,0.0004584729533878507,794784.7952285134,1.53809842660822e-14,70.19464515108099
76675159.47376472,32,3,1.5,8.157443200055632e-13,0.0009512324797096062,424764.2207068206,2.0417663046206235e-14,59.09525148351265
64240757.68795659,32,5,1.5,5.819505959034495e-13,0.00022876493553294593,986706.5114065146,2.4157237263959858e-14,58.44546807888919
513840832.23407924,128,3,1.5,9.326916235996415e-13,0.0008676422245109101,678694.6189622071,2.3058942302914475e-14,83.90998361111556
921980940.4735962,64,2,1.5,7.470977838920902e-13,0.0006204160008320682,242300.96949636177,3.105902852595022e-14,72.33593097734511
249451900.72545072,256,4,1.5,7.244193574631851e-13,0.0003712266408157028,379133.37034200353,4.301670149135546e-14,81.71256231632105
950549765.4229721,128,5,1.5,2.799104041231288e-13,0.00022191284398840862,937628.4953090049,2.0670794974707596e-14,85.34055399824716
281385998.1980073,128,3,1.5,9.353599619841204e-13,0.00041478684808770303,982734.046927095,7.682007455465799e-14,84.7247182194795
410897902.9099902,256,5,1.5,6.298284759143199e-13,0.0008606110197954639,505195.0871356022,1.6290207126436663e-14,81.18697904545078
526380088.11111414,128,3,1.5,6.89953754595678e-13,0.0006059095296525959,341342.96675676026,4.608264975115217e-14,84.49057623713301
264883511.74016076,128,5,1.5,9.892659325127711e-13,0.0003315952254851516,461277.974343572,4.245092187208617e-14,84.16158624311532
