Order,OSR,Levels,Hinf,Form,SNR
3,32,2,1.5,CRFB,69.62021652475246
3,32,2,1.5,CRFF,29.341361134771304
3,32,2,1.5,CIFB,68.786836966933
3,32,2,1.5,CIFF,33.222325049169825
3,32,2,1.5,CRFBD,67.59117082577242
3,32,2,1.5,CRFFD,29.482880467917326
3,32,2,2.0,CRFB,25.759839023569207
3,32,2,2.0,CRFF,28.956918695605065
3,32,2,2.0,CIFB,72.54066128043317
3,32,2,2.0,CIFF,33.186561322186186
3,32,2,2.0,CRFBD,72.52737327400816
3,32,2,2.0,CRFFD,29.37919696137218
3,32,3,1.0,CRFB,23.384083267566147
3,32,3,1.0,CRFF,4.904641827588249
3,32,3,1.0,CIFB,23.902309764076076
3,32,3,1.0,CIFF,4.491988229907054
3,32,3,1.0,CRFBD,3.1850897112453542
3,32,3,1.0,CRFFD,-1.0530942990964505
3,32,3,1.5,CRFB,69.62021652475246
3,32,3,1.5,CRFF,29.341361134771304
3,32,3,1.5,CIFB,68.786836966933
3,32,3,1.5,CIFF,33.222325049169825
3,32,3,1.5,CRFBD,67.59117082577242
3,32,3,1.5,CRFFD,29.482880467917326
3,32,3,2.0,CRFB,25.759839023569207
3,32,3,2.0,CRFF,28.956918695605065
3,32,3,2.0,CIFB,72.54066128043317
3,32,3,2.0,CIFF,33.186561322186186
3,32,3,2.0,CRFBD,72.52737327400816
3,32,3,2.0,CRFFD,29.37919696137218
3,64,2,1.0,CRFB,16.18713367503423
3,64,2,1.0,CRFF,4.264513306796641
3,64,2,1.0,CIFB,19.454652799755255
3,64,2,1.0,CIFF,4.406195269837989
3,64,2,1.0,CRFBD,2.8801325770935255
3,64,2,1.0,CRFFD,1.8432270358447136
3,64,2,1.5,CRFB,85.01384608029295
3,64,2,1.5,CRFF,18.929501017651763
3,64,2,1.5,CIFB,85.03071905510484
3,64,2,1.5,CIFF,18.60996194152304
3,64,2,1.5,CRFBD,83.86753940205296
3,64,2,1.5,CRFFD,18.903678932648084
3,64,2,2.0,CRFB,84.8732658871474
3,64,2,2.0,CRFF,19.0740908888046
3,64,2,2.0,CIFB,85.30944423233458
3,64,2,2.0,CIFF,18.695567772453476
3,64,2,2.0,CRFBD,85.79550523468723
3,64,2,2.0,CRFFD,18.96942260987129
3,64,3,1.0,CRFB,16.18713367503423
3,64,3,1.0,CRFF,4.264513306796641
3,64,3,1.0,CIFB,19.454652799755255
3,64,3,1.0,CIFF,4.406195269837989
3,64,3,1.0,CRFBD,2.8801325770935255
3,64,3,1.0,CRFFD,1.8432270358447136
3,64,3,1.5,CRFB,85.01384608029295
3,64,3,1.5,CRFF,18.929501017651763
3,64,3,1.5,CIFB,85.03071905510484
3,64,3,1.5,CIFF,18.60996194152304
3,64,3,1.5,CRFBD,83.86753940205296
3,64,3,1.5,CRFFD,18.903678932648084
3,64,3,2.0,CRFB,84.8732658871474
3,64,3,2.0,CRFF,19.0740908888046
3,64,3,2.0,CIFB,85.30944423233458
3,64,3,2.0,CIFF,18.695567772453476
3,64,3,2.0,CRFBD,85.79550523468723
3,64,3,2.0,CRFFD,18.96942260987129
3,128,2,1.0,CRFB,13.229152365068138
3,128,2,1.0,CRFF,4.4561185658803
3,128,2,1.0,CIFB,13.503414469834532
3,128,2,1.0,CIFF,4.45368839720399
3,128,2,1.0,CRFBD,13.049267729793323
3,128,2,1.0,CRFFD,1.602760568954675
3,128,2,1.5,CRFB,85.7479857086914
3,128,2,1.5,CRFF,26.6036330214483
3,128,2,1.5,CIFB,85.74789792330154
3,128,2,1.5,CIFF,26.63577274673786
3,128,2,1.5,CRFBD,85.76135176347793
3,128,2,1.5,CRFFD,26.754210972837733
3,128,2,2.0,CRFB,85.72494152129087
3,128,2,2.0,CRFF,26.79690707350391
3,128,2,2.0,CIFB,85.7292431192877
3,128,2,2.0,CIFF,26.792645699576255
3,128,2,2.0,CRFBD,85.70308815378438
3,128,2,2.0,CRFFD,26.730965239499177
3,128,3,1.0,CRFB,13.229152365068138
3,128,3,1.0,CRFF,4.4561185658803
3,128,3,1.0,CIFB,13.503414469834532
3,128,3,1.0,CIFF,4.45368839720399
3,128,3,1.0,CRFBD,13.049267729793323
3,128,3,1.0,CRFFD,1.602760568954675
3,128,3,1.5,CRFB,85.7479857086914
3,128,3,1.5,CRFF,26.6036330214483
3,128,3,1.5,CIFB,85.74789792330154
3,128,3,1.5,CIFF,26.63577274673786
3,128,3,1.5,CRFBD,85.76135176347793
3,128,3,1.5,CRFFD,26.754210972837733
3,128,3,2.0,CRFB,85.72494152129087
3,128,3,2.0,CRFF,26.79690707350391
3,128,3,2.0,CIFB,85.7292431192877
3,128,3,2.0,CIFF,26.792645699576255
3,128,3,2.0,CRFBD,85.70308815378438
3,128,3,2.0,CRFFD,26.730965239499177
3,256,2,1.0,CRFB,27.432578924635976
3,256,2,1.0,CRFF,23.264167806414967
3,256,2,1.0,CIFB,27.432578927527985
3,256,2,1.0,CIFF,23.264167805946695
3,256,2,1.0,CRFBD,22.81565470230264
3,256,2,1.0,CRFFD,2.0208204119694675
3,256,2,1.5,CRFB,85.91177768007884
3,256,2,1.5,CRFF,19.90021025917882
3,256,2,1.5,CIFB,85.91556330814288
3,256,2,1.5,CIFF,19.950661803429753
3,256,2,1.5,CRFBD,85.90257766743753
3,256,2,1.5,CRFFD,19.98170740830644
3,256,2,2.0,CRFB,86.74466854393317
3,256,2,2.0,CRFF,19.92436031439705
3,256,2,2.0,CIFB,85.9236558463371
3,256,2,2.0,CIFF,19.901922025186153
3,256,2,2.0,CRFBD,85.91440819423626
3,256,2,2.0,CRFFD,19.90247568086012
3,256,3,1.0,CRFB,27.432578924635976
3,256,3,1.0,CRFF,23.264167806414967
3,256,3,1.0,CIFB,27.432578927527985
3,256,3,1.0,CIFF,23.264167805946695
3,256,3,1.0,CRFBD,22.81565470230264
3,256,3,1.0,CRFFD,2.0208204119694675
3,256,3,1.5,CRFB,85.91177768007884
3,256,3,1.5,CRFF,19.90021025917882
3,256,3,1.5,CIFB,85.91556330814288
3,256,3,1.5,CIFF,19.950661803429753
3,256,3,1.5,CRFBD,85.90257766743753
3,256,3,1.5,CRFFD,19.98170740830644
3,256,3,2.0,CRFB,86.74466854393317
3,256,3,2.0,CRFF,19.92436031439705
3,256,3,2.0,CIFB,85.9236558463371
